Course Name,Course Code,Component,Major,Room,Day,Start Time,End Time,Seats,Faculty,L/T/P Hour,Open as UWE,Type,Class Notes
Bioinformatics,BIO208,LEC1,BIO2YR,,MW,9:30 AM,10:30 AM,30,"Ashutosh  Singh[20500053],
",2,YES,,
Bioinformatics,BIO208,PRAC1,BIO2YR,A313,F,2:00 PM,5:00 PM,30,"Ashutosh  Singh[20500053],
",3,YES,,
"Genomics, Proteomics & Sys Bio",BIO305,LEC1,BIO3YR,,TTh,2:00 PM,3:00 PM,30,"Puli Chandramouli Reddy[20501494],
Rajan  Vyas[20501250],
",2,YES,,
"Genomics, Proteomics & Sys Bio",BIO305,PRAC1,BIO3YR,B312,W,2:00 PM,5:00 PM,30,"Puli Chandramouli Reddy[20501494],
Rajan  Vyas[20501250],
",3,YES,,
"IPR, Patent Laws & Bioethics",BIO307,LEC1,BIO3YR,,MW,11:00 AM,12:00 PM,35,,3,YES,,
"IPR, Patent Laws & Bioethics",BIO307,LEC1,BIO3YR,,T,1:00 PM,2:00 PM,35,,3,YES,,
Cancer Biology,BIO309,LEC1,BIO3YR,,TThF,10:00 AM,11:00 AM,20,"Anindita  Chakrabarty[20500316],
",3,YES,Major Elective,
Neuroscience and Cognition,BIO322,LEC1,BIO3YR,,TThF,8:00 AM,9:00 AM,30,"Prasun Kumar Roy[20501577],
Sachin Suhas Deshmukh[20501643],
",3,YES,Major Elective,
Epigenetics,BIO323,LEC1,BIO3YR,,MWF,1:00 PM,2:00 PM,30,"Sanjeev Anant Galande[20501434],
Ashish  Gupta[20500190],
",3,YES,Major Elective,
Developmental Biology,BIO326,LEC1,BIO3YR,,MW,9:30 AM,10:30 AM,30,"Puli Chandramouli Reddy[20501494],
Geetanjali  Chawla[20501652],
",3,YES,,
Developmental Biology,BIO326,PRAC1,BIO3YR,B314,M,2:00 PM,5:00 PM,30,"Geetanjali  Chawla[20501652],
Puli Chandramouli Reddy[20501494],
",3,YES,,
Host-Pathogen Interactions....,BIO327,LEC1,BIO3YR,,TThF,9:00 AM,10:00 AM,30,"Soumya  Pati[20500398],
",3,YES,Major Elective,
Medical Microbiology,BIO328,LEC1,BIO3YR,,TThF,10:00 AM,11:00 AM,30,"Richa  Priyadarshini[20500150],
Koyeli  Mapa[20500426],
",3,YES,Major Elective,
Systems Biology in Drug Disc..,BIO329,LEC1,BIO3YR,,MWF,5:00 PM,6:00 PM,30,"Sanjeev Anant Galande[20501434],
",3,YES,Major Elective,
Project Dissertation,BIO403,PRAC1,BIO4YR,B316,,,,20,"Neelesh Naresh Dahanukar[20501487],
",30,NO,,
Objects and Histories,CCC222,LEC1,CCC,,TThF,11:00 AM,12:00 PM,40,"Sudeshna  Guha[20500519],
",3,,,
Whose Child is it Anyway? The Global Politics of Childhood,CCC249,LEC1,CCC,,TTh,11:00 AM,12:30 PM,60,Divya Kannan,3,,,
Conspiracy Theories: History’s Wicked Twin,CCC250,LEC1,CCC,,TThF,11:00 AM,12:00 PM,60,,3,,,
Genetic Engg. - Jrny of Life,CCC402,LEC1,CCC,,TThF,11:00 AM,12:00 PM,120,"Deepak  Sehgal[20500085],
",3,,,
Chemistry in our Life,CCC407,LEC1,CCC,,TThF,11:00 AM,12:00 PM,60,"Nidhi  Malhotra[20501761],
",3,,,
Science of Drug Addiction and,CCC416,LEC1,CCC,,TThF,11:00 AM,12:00 PM,120,"Naga Suresh Veerapu[20500209],
",3,,,
"Cancer,a Deadly Disease.......",CCC419,LEC1,CCC,,TThF,11:00 AM,12:00 PM,50,"Anindita  Chakrabarty[20500316],
",3,,,
Evolution of life,CCC423,LEC1,CCC,,TTh,11:00 AM,12:30 PM,60,"Kshatresh Dutta Dubey[20501539],
",3,,,
General Biochemistry..........,CCC441,LEC1,CCC,,TThF,11:00 AM,12:00 PM,60,"Animesh  Samanta[20501079],
",3,,,
Patterns and Universality.....,CCC443,LEC1,CCC,,TThF,11:00 AM,12:00 PM,60,"Santosh  Kumar[20500193],
",3,,,
Brain Sciences and Cognition,CCC512,LEC1,CCC,,TThF,11:00 AM,12:00 PM,50,"Prasun Kumar Roy[20501577],
Soumya  Pati[20500398],
",3,,,
Introduction to Robotics,CCC515,LEC1,CCC,,TThF,11:00 AM,12:00 PM,60,"Aakash Kishore Sinha[20500738],
",3,,,
A Gentle Intro. to Python,CCC634,LEC1,CCC,,TTh,11:00 AM,12:30 PM,60,"Pooja  Singh[20501291],
",3,YES,,
Logic and Reasoning,CCC639,LEC1,CCC,,TThF,11:00 AM,12:00 PM,60,"Dipti  Dubey[20501196],
",3,,,
"Atoms,molecules & interactions",CCC682,LEC1,CCCC,,TTh,11:00 AM,12:30 PM,60,"Swaminath  Bharadwaj Gourishankar[20501653],
",3,,,
A beginner's guide to Nuclear,CCC684,LEC1,CCC,,TThF,11:00 AM,12:00 PM,60,"Sujit Kashinath Tandel[20501802],
",3,,,
Hazardous Waste Management,CCC720,LEC1,CCC,,TTh,11:00 AM,12:30 PM,100,"Sailesh Narayan Behera[20500422],
",3,,,
Media and Climate Change,CCC721,LEC1,CCC,,TTh,11:00 AM,12:30 PM,60,Bahar Dutt,3,,,
History of Engrg. Sciences,CCC724,LEC1,CCC,,TTh,11:00 AM,12:30 PM,60,"Gurmail Singh Benipal[20501488],
",3,,,
The Art of Numbers,CCC801,LEC1,CCC,,TTh,11:00 AM,12:30 PM,50,"Neha  Gupta[20500087],
",3,,,
Analysis & Bus. Modelling,CCC805,LEC1,CCC,,TTh,11:00 AM,12:30 PM,50,"Charu  Sharma[20500010],
",3,,,
Engineering Mechanics,CED101,LEC1,CED1YR,,TTh,2:00 PM,3:30 PM,40,"Gyan  Vikash[20500145],
",3,YES,,
Engineering Mechanics,CED101,TUT1,CED1YR,,W,1:00 PM,2:00 PM,40,"Gyan  Vikash[20500145],
",1,YES,,
Engineering Hydrology,CED203,LEC1,CED2YR,,MW,11:00 AM,12:00 PM,30,"Gopal Das Singhal[20500079],
",2,YES,,
Hydraulic Engineering,CED207,LEC1,CED2YR,,TTh,10:00 AM,11:00 AM,30,"Ellora  Padhi[20501403],
",2,YES,,
Hydraulic Engineering,CED207,PRAC1,CED2YR,C009,M,3:00 PM,5:00 PM,30,"Gopal Das Singhal[20500079],
",2,YES,,
Intro. to Bldg Info. Modelling,CED213,LEC1,CED3YR CED4YR,,MW,9:30 AM,11:00 AM,30,"Ellora  Padhi[20501403],
",3,NO,Major Elective,
Risk and Reliability Analysis,CED218,LEC1,CED2YR,,TThF,8:00 AM,9:00 AM,30,"Manoj Kumar Singh[20501585],
",3,NO,,
Concrete Technology,CED219,LEC1,CED2YR,,MW,9:30 AM,10:30 AM,30,"Sumedha  Moharana[20500215],
",2,YES,,
Concrete Technology,CED219,PRAC1,CED2YR,C006,W,3:00 PM,5:00 PM,30,"Sumedha  Moharana[20500215],
",2,YES,,
Structural Analysis,CED220,LEC1,CED2YR,,TThF,9:00 AM,10:00 AM,30,"Ghanshyam  Pal[20500891],
",3,NO,,
Foundation Engg. & Design,CED306,LEC1,CED3YR,,TTh,2:00 PM,3:30 PM,30,"Jagabandhu  Dixit[20500135],
",3,NO,,
Environmental Engineering,CED308,LEC1,CED3YR,,TTh,3:30 PM,5:00 PM,60,"Susant Kumar Padhi[20501001],
",3,YES,,
Environmental Engineering,CED308,PRAC1,CED3YR,C017,M,3:00 PM,5:00 PM,60,"Susant Kumar Padhi[20501001],
",2,YES,,
Transportation Engineering II,CED309,LEC1,CED3YR CED4YR,,MW,9:30 AM,11:00 AM,30,"Shalini  Rankavat[20501010],
",3,NO,Major Elective,
Remote Sensing and GIS,CED310,LEC1,CED3YR CED4YR,,TTh,9:00 AM,10:00 AM,30,"Hitesh  Upreti[20501296],
",2,NO,Major Elective,
Remote Sensing and GIS,CED310,PRAC1,CED3YR CED4YR,C116,W,3:00 PM,5:00 PM,30,"Hitesh  Upreti[20501296],
",2,NO,Major Elective,
Design of Steel Structures,CED401,LEC1,CED3YR,,MW,8:00 AM,9:30 AM,30,"Atri  Nath[20501588],
",3,NO,,
Introduction to Chemical & Bio,CHD111,LEC1,CHD1YR,,TTh,9:00 AM,10:00 AM,30,"Rajendra Prasad Chhabra[20501592],
",2,YES,,
Introduction to Chemical & Bio,CHD111,TUT1,CHD1YR,,F,9:00 AM,10:00 AM,30,"Rajendra Prasad Chhabra[20501592],
",1,YES,,
Industrial and Engg. Chemistry,CHD223,LEC1,CHD2YR,,TThF,9:00 AM,10:00 AM,30,"Ranjit  Kumar[20501593],
",3,NO,,
Chemical Reaction Engg. I,CHD225,LEC1,CHD2YR,,MW,8:00 AM,9:30 AM,30,"Sanjay  Krishna[20501646],
",3,YES,,
Heat Transfer,CHD226,LEC1,CHD2YR,,TThF,10:00 AM,11:00 AM,30,"BHALAJI M[2110121069],
V.M  Rajesh[20500329],
Sanjay  Krishna[20501646],
",3,YES,,
Mechanical Operations,CHD227,LEC1,CHD2YR,,MW,9:30 AM,11:00 AM,30,"SOURODIPTO MODAK[2010120919],
Priyanka  .[20501347],
",3,NO,,
Numerical Methods,CHD262,LEC1,CHD2YR,,TTh,2:00 PM,3:30 PM,30,"GARIMA HIREKAR[2110121130],
APPURVA TIWARI[2010120803],
Ashish Kumar Thokchom[20501203],
",3,NO,Major Elective,
Chemical Engg. Laboratory - II,CHD323,PRAC1,CHD31,B316,MW,1:00 PM,3:00 PM,15,"Priyanka  .[20501347],
SOURODIPTO MODAK[2010120919],
",4,NO,,
Chemical Engg. Laboratory - II,CHD323,PRAC2,CHD32,B316,MW,3:00 PM,5:00 PM,15,"Sanjeev  Yadav[20500213],
AAYUSH RAIZADA[2010120777],
",4,NO,,
Mass Transfer-II,CHD327,LEC1,CHD3YR,,TTh,2:00 PM,3:30 PM,30,"BHALAJI M[2110121069],
V.M  Rajesh[20500329],
",3,NO,,
Transport Phenomenon,CHD328,LEC1,CHD3YR,,MW,8:00 AM,9:30 AM,30,"SONAL MAHESHWARI[2210120806],
Karan  Gupta[20500945],
",3,NO,,
Biomass Conversion to Bioenerg,CHD329,LEC1,CHD3YR,,TTh,9:00 AM,10:00 AM,30,"Sanjeev  Yadav[20500213],
SURYA DE[2210120998],
AAYUSH RAIZADA[2010120777],
",2,NO,,
Biomass Conversion to Bioenerg,CHD329,PRAC1,CHD3YR,B308,F,1:00 PM,3:00 PM,30,"Sanjeev  Yadav[20500213],
SURYA DE[2210120998],
AAYUSH RAIZADA[2010120777],
",2,NO,,
Mod. & Sim. of Chem. Engg. Sys,CHD384,LEC1,CHD3YR,,MW,9:30 AM,11:00 AM,30,"NABILA TABASSUM[2110121077],
MANSINGH YADAV[2210120990],
Yamini Sudha Sistla[20500907],
",3,NO,,
Chemical Technology,CHD413,LEC1,CHD4YR,,MW,3:00 PM,4:30 PM,30,"Ranjit  Kumar[20501593],
APPURVA TIWARI[2010120803],
GARIMA HIREKAR[2110121130],
Ashish Kumar Thokchom[20501203],
",3,NO,,
Process Equipment Design,CHD415,LEC1,CHD4YR,,MW,9:30 AM,11:00 AM,30,"Swaminath  Bharadwaj Gourishankar[20501653],
",3,NO,,
Mathematics For Chemists-II,CHY104,LEC1,CHY1YR,,TThF,8:00 AM,9:00 AM,20,"Naiwrit  Karmodak[20501631],
",3,NO,,
Mathematics For Chemists-II,CHY104,TUT1,CHY1YR,,F,1:00 PM,2:00 PM,20,"Naiwrit  Karmodak[20501631],
",1,NO,,
Molecular modelling,CHY114,LEC1,CHY1YR,,T,1:00 PM,2:00 PM,30,"Kshatresh Dutta Dubey[20501539],
",1,YES,,
Molecular modelling,CHY114,PRAC1,CHY1YR,D114,F,3:00 PM,5:00 PM,30,"Kshatresh Dutta Dubey[20501539],
",2,YES,,
Basic Organic Chemistry I,CHY122,LEC1,CHY1YR,,MW,9:30 AM,10:30 AM,30,"Santanu  Ghosh[20501662],
",2,YES,,
Basic Organic Chemistry I,CHY122,TUT1,CHY1YR,,F,2:00 PM,3:00 PM,30,"Santanu  Ghosh[20501662],
",1,YES,,
Basic Organic Chemistry I,CHY122,PRAC1,CHY1YR,B212,M,2:00 PM,5:00 PM,30,"Bimlesh  Lochab[20500076],
",3,YES,,
Inorganic Chemistry-I,CHY144,LEC1,CHY1YR,,TThF,9:00 AM,10:00 AM,25,"Basab Bijayi Dhar[20500431],
",3,YES,,
Inorganic Chemistry-I,CHY144,PRAC1,CHY1YR,B214,T,2:00 PM,5:00 PM,25,"Basab Bijayi Dhar[20500431],
",3,YES,,
Chemical Apps. of Group Theory,CHY212,LEC1,CHY2YR,,TThF,8:00 AM,9:00 AM,20,"Biswajit  Guchhait[20501118],
",3,YES,,
Modelling chemical reactions,CHY216,LEC1,CHY2YR,,MW,9:30 AM,10:30 AM,15,"Kshatresh Dutta Dubey[20501539],
",2,YES,,
Modelling chemical reactions,CHY216,TUT1,CHY2YR,,M,2:00 PM,3:00 PM,15,"Kshatresh Dutta Dubey[20501539],
",1,YES,,
Chemistry of Carbonyl Compound,CHY222,LEC1,CHY2YR,,MW,11:00 AM,12:00 AM,20,"Ajoy  Kapat[20501102],
",2,YES,,
Chemistry of Carbonyl Compound,CHY222,TUT1,CHY2YR,,M,3:00 PM,4:00 PM,20,"Ajoy  Kapat[20501102],
",1,YES,,
Chemistry of Carbonyl Compound,CHY222,PRAC1,CHY2YR,B212,W,2:00 PM,5:00 PM,20,"Ajoy  Kapat[20501102],
",3,YES,,
Fundamentals of Protein Chem..,CHY226,LEC1,CHY2YR,,TThF,9:00 AM,10:00 AM,15,"Tatini  Rakshit[20501510],
",3,YES,,
Fundamentals of Protein Chem..,CHY226,TUT1,CHY2YR,,M,4:00 PM,5:00 PM,15,"Tatini  Rakshit[20501510],
",1,YES,,
Coordination Chemistry,CHY242,LEC1,CHY2YR,,TThF,10:00 AM,11:00 AM,20,"Debdas  Ray[20500191],
",3,YES,,
Coordination Chemistry,CHY242,PRAC1,CHY2YR,B214,F,2:00 PM,5:00 PM,20,"Debdas  Ray[20500191],
",3,YES,,
Named Organic Reactions & Mech,CHY321,LEC1,CHY3YR,,TTh,2:00 PM,3:00 PM,20,"Subhabrata  Sen[20501107],
",2,YES,Major Elective,
Heterocyclic chemistry,CHY322,LEC1,CHY3YR,,TThF,9:00 AM,10:00 AM,20,"Subhabrata  Sen[20501107],
",3,YES,Major Elective,
Chemistry of Solids & Surfaces,CHY342,LEC1,CHY3YR,,TThF,10:00 AM,11:00 AM,20,"Bimlesh  Lochab[20500076],
Santosh Kumar Singh[20501509],
Parthapratim  Munshi[20500205],
",3,YES,Major Elective,
Advanced Bio-inorganic chemist,CHY348,LEC1,CHY3YR,,TThF,8:00 AM,9:00 AM,20,"Basab Bijayi Dhar[20500431],
",3,YES,Major Elective,
Advanced Biochemistry,CHY352,LEC1,CHY3YR,,MWF,5:00 PM,6:00 PM,20,"Animesh  Samanta[20501079],
",3,NO,Major Elective,
Medicinal chem.of organic mol.,CHY424,LEC1,UWE,,TThF,10:00 AM,11:00 AM,20,"Subhabrata  Sen[20501107],
",3,YES,,
Nanotechnology & nanomaterias,CHY444,LEC1,UWE,,TTh,3:30 PM,5:00 PM,25,"Santosh Kumar Singh[20501509],
",3,YES,,
Food Chemistry,CHY456,LEC1,UWE,,MWF,5:00 PM,6:00 PM,25,"Tatini  Rakshit[20501510],
",3,YES,,
Senior Project,CHY498,PRAC1,CHY4YR,,,,,7,,6,NO,,
Informatics and Drug Discovery,CHY522,LEC1,UWE,,TTh,9:00 AM,10:00 AM,20,"Nidhi  Malhotra[20501761],
",2,YES,,
Informatics and Drug Discovery,CHY522,PRAC1,UWE,D114,W,3:00 PM,5:00 PM,20,"Nidhi  Malhotra[20501761],
",2,YES,,
Supramolecular Chem.,CHY542,LEC1,UWE,,TThF,8:00 AM,9:00 AM,15,"Bappaditya  Gole[20501351],
",3,YES,,
Frontiers in Inorganic Chemist,CHY548,LEC1,UWE,,TTh,2:00 PM,3:30 PM,15,"Bappaditya  Gole[20501351],
",3,YES,,
Frontiers in Inorganic Chemist,CHY548,PRAC1,UWE,B208,F,2:00 PM,5:00 PM,15,"Bappaditya  Gole[20501351],
",3,YES,,
Interpreting Cinema,COM192,LEC1,UWE,B004,T,2:00 PM,4:00 PM,30,"Ashwin  Ramanathan[20500228],
",2,YES,,Department Consent
Interpreting Cinema,COM192,TUT1,UWE,B004,Th,2:00 PM,4:00 PM,30,"Ashwin  Ramanathan[20500228],
",2,YES,,Department Consent
Editing & Post Production,COM197,LEC1,UWE,,T,4:00 PM,6:00 PM,16,"Ashwin  Ramanathan[20500228],
",2,YES,,Department Consent
Editing & Post Production,COM197,PRAC1,UWE,B004,Th,4:00 PM,6:00 PM,16,"Ashwin  Ramanathan[20500228],
",2,YES,,Department Consent
Image and Sound Studio,COM199,LEC1,UWE,,T,2:00 PM,3:00 PM,30,,1,YES,,Department Consent
Image and Sound Studio,COM199,TUT1,UWE,,T,3:00 PM,4:00 PM,30,,1,YES,,Department Consent
Image and Sound Studio,COM199,PRAC1,UWE,B004,Th,2:00 PM,4:00 PM,30,,2,YES,,Department Consent
Intro. to Computing and Prog.,CSD101,LEC1,CHD1YR CED1YR MED1YR ECO2YR ECO3YR,,MW,8:00 AM,9:30 AM,170,"Snehasis  Mukherjee[20501281],
",3,YES,,
Intro. to Computing and Prog.,CSD101,PRAC1,CHD1YR CED1YR,D317,M,1:00 PM,3:00 PM,60,"Snehasis  Mukherjee[20501281],
",2,YES,,
Intro. to Computing and Prog.,CSD101,PRAC2,MED1YR,D317,F,1:00 PM,3:00 PM,55,"Snehasis  Mukherjee[20501281],
",2,YES,,
Intro. to Computing and Prog.,CSD101,PRAC3,ECO2YR ECO3YR,D313,F,3:00 PM,5:00 PM,76,"Snehasis  Mukherjee[20501281],
",2,YES,,
Data Structures,CSD102,LEC1,CSD11 CSD12 CSD13 CSD14,,TThF,9:00 AM,10:00 AM,150,"Simple  .[20500397],
",3,YES,,
Data Structures,CSD102,PRAC1,CSD11 CSD12,D313,M,11:00 AM,1:00 PM,75,"Simple  .[20500397],
",2,YES,,
Data Structures,CSD102,PRAC2,CSD13 CSD14,D313,W,1:00 PM,3:00 PM,75,"Simple  .[20500397],
",2,YES,,
Intro. To Database Systems,CSD202,LEC1,CSD2YR,,MW,9:30 AM,11:00 AM,130,"Sonia  Khetarpaul[20500730],
",3,YES,,
Intro. To Database Systems,CSD202,PRAC1,CSD21 CSD22,D313,M,1:00 PM,3:00 PM,72,"Sonia  Khetarpaul[20500730],
",2,YES,,
Intro. To Database Systems,CSD202,PRAC2,CSD23,D317,W,1:00 PM,3:00 PM,58,"Sonia  Khetarpaul[20500730],
",2,YES,,
Operating Systems,CSD204,LEC1,CSD21 CSD22 CSD23,,TThF,9:00 AM,10:00 AM,130,"Simple  .[20500397],
",3,YES,,
Operating Systems,CSD204,PRAC1,CSD21 CSD22,D313,M,3:00 PM,5:00 PM,72,"Simple  .[20500397],
",2,YES,,
Operating Systems,CSD204,PRAC2,CSD23,D317,W,3:00 PM,5:00 PM,58,"Simple  .[20500397],
",2,YES,,
Intro. to Prob. & Statistics,CSD210,LEC1,CSD21 CSD22 CSD23,,TThF,10:00 AM,11:00 AM,120,"Nitin  Kumar[20501744],
",3,YES,,
Intro. to Prob. & Statistics,CSD210,TUT1,CSD21,,W,1:00 PM,2:00 PM,40,"Nitin  Kumar[20501744],
",1,YES,,
Intro. to Prob. & Statistics,CSD210,TUT2,CSD22,,W,2:00 PM,3:00 PM,40,"Nitin  Kumar[20501744],
",1,YES,,
Intro. to Prob. & Statistics,CSD210,TUT3,CSD23,,M,4:00 PM,5:00 PM,40,"Nitin  Kumar[20501744],
",1,YES,,
Digital Image Processing,CSD212,LEC1,CSD21 CSD22 CSD23,,TThF,8:00 AM,9:00 AM,110,"Saurabh Janardan Shigwan[20501375],
",3,NO,,
Digital Image Processing,CSD212,PRAC1,CSD21 CSD22,D313,F,1:00 PM,3:00 PM,72,"Saurabh Janardan Shigwan[20501375],
",2,NO,,
Digital Image Processing,CSD212,PRAC2,CSD23,D317,F,3:00 PM,5:00 PM,36,"Saurabh Janardan Shigwan[20501375],
",2,NO,,
Computer Networks,CSD304,LEC1,CSD31 CSD32,,MW,8:00 AM,9:30 AM,140,"Shankar Kumar Ghosh[20501606],
",3,YES,,
Computer Networks,CSD304,PRAC1,CSD31,D313,W,3:00 PM,5:00 PM,80,"Shankar Kumar Ghosh[20501606],
",2,YES,,
Computer Networks,CSD304,PRAC2,CSD32,D317,M,3:00 PM,5:00 PM,60,"Shankar Kumar Ghosh[20501606],
",2,YES,,
Software Engineering,CSD326,LEC1,CSD31 CSD32,,TThF,10:00 AM,11:00 AM,160,"Pooja  Singh[20501291],
",3,YES,,
Software Engineering,CSD326,PRAC1,CSD31,C309,M,3:00 PM,5:00 PM,80,"Pooja  Singh[20501291],
",2,YES,,
Software Engineering,CSD326,PRAC2,CSD32,C309,W,3:00 PM,5:00 PM,80,"Pooja  Singh[20501291],
",2,YES,,
Theory of Computation,CSD334,LEC1,CSD31 CSD32,,MW,9:30 AM,11:00 AM,130,"Rajeev Kumar Singh[20500026],
",3,NO,,
Natural Language Processing,CSD350,LEC1,CSD31 CSD32,Online,MW,11:00 AM,12:00 PM,50,"Harish  Karnick[20501378],
",2,NO,Major Elective,
Natural Language Processing,CSD350,PRAC1,CSD31 CSD32,C309,F,3:00 PM,5:00 PM,50,"Harish  Karnick[20501378],
",2,NO,,
Foundation of Info. Security,CSD356,LEC1,CSD31 CSD32,,TThF,8:00 AM,9:00 AM,40,"Sweta  Mishra[20501119],
",3,NO,Major Elective,
Social & Information Networks,CSD363,LEC1,CSD31 CSD32,,TTh,9:00 AM,10:00 AM,40,"Dolly  Sharma[20500428],
",2,NO,Major Elective,
Social & Information Networks,CSD363,PRAC1,CSD31 CSD32,C309,F,1:00 PM,3:00 PM,40,"Dolly  Sharma[20500428],
",2,NO,Major Elective,
Special Topics in Systems,CSD483,LEC1,CSD31 CSD32,,TTh,3:30 PM,5:00 PM,40,"Sheel Sindhu Manohar[20501603],
",3,NO,Major Elective,
Spl. Topics in Theoretical....,CSD484,LEC1,CSD31 CSD32,,TTh,2:00 PM,3:30 PM,40,"Sandeep  Sen[20501078],
",3,NO,Major Elective,
"Human Behaviour, Psychology...",DES107,LEC1,DES1YR,,TTh,9:00 AM,10:00 AM,30,"Subhajit  Chandra[20500916],
",2,NO,,
"Human Behaviour, Psychology...",DES107,PRAC1,DES1YR,B003,F,9:00 PM,11:00 PM,30,"Subhajit  Chandra[20500916],
",2,NO,,
Visual Communication - 1,DES108,LEC1,DES1YR,,T,10:00 AM,11:00 AM,30,"Snigdha  Banerjee[20501668],
",1,NO,,
Visual Communication - 1,DES108,PRAC1,DES1YR,B003,M,9:00 AM,3:00 PM,30,"Snigdha  Banerjee[20501668],
",6,NO,,
Human-Centred Design Methods,DES109,LEC1,DES1YR,,MW,4:00 PM,5:00 PM,30,"Vikash  Kumar[20500361],
",2,NO,,
Human-Centred Design Methods,DES109,PRAC1,DES1YR,B003,F,1:00 PM,5:00 PM,30,"Vikash  Kumar[20500361],
",4,NO,,
Design with Software,DES110,LEC1,DES1YR,,Th,10:00 AM,11:00 AM,30,"Subhajit  Chandra[20500916],
",1,NO,,
Design with Software,DES110,PRAC1,DES1YR,B003,W,9:00 AM,3:00 PM,30,"Subhajit  Chandra[20500916],
",6,NO,,
Introduction to Product Design,DES111,LEC1,UWE,,TTh,2:00 PM,3:00 PM,60,"Prakash  Kumar[20500290],
",2,YES,,Department Consent
Introduction to Product Design,DES111,PRAC1,UWE,B003,,,,30,"Prakash  Kumar[20500290],
",4,YES,,Department Consent
Introduction to Product Design,DES111,PRAC2,UWE,B003,,,,30,"Prakash  Kumar[20500290],
",4,YES,,Department Consent
Intro. To Visual Communication,DES121,LEC1,UWE,,TTh,4:00 PM,5:00 PM,30,"Snigdha  Banerjee[20501668],
",2,YES,,Department Consent
Intro. To Visual Communication,DES121,PRAC1,UWE,B003,,,,30,"Snigdha  Banerjee[20501668],
",4,YES,,Department Consent
Dance and National Identity,DNC100,PRAC1,UWE,B015,TTh,2:00 PM,4:00 PM,30,"Aadya  Kaktikar[20500164],
",4,YES,,
Writing Bodies,DNC101,LEC1,UWE,B015,TTh,4:00 PM,6:00 PM,30,"Amrithasruthi  Radhakrishnan[20501673],
",4,YES,,
Movement and Meaning,DNC310,PRAC1,UWE,B015,MW,5:00 PM,7:00 PM,30,"Amrithasruthi  Radhakrishnan[20501673],
",4,YES,,
Quant...Tech... in Business-II,DOM105,LEC1,BMS11,,TThF,10:00 AM,11:00 AM,70,"Satyam  Mukherjee[20501431],
",3,NO,,
Quant...Tech... in Business-II,DOM105,LEC2,BMS12,,TThF,10:00 AM,11:00 AM,70,"Surya Sarathi Majumdar[20500307],
",3,NO,,
Introduction to Python,DOM305,LEC1,BMS3YR BMS4YR,,TTh,3:30 PM,5:00 PM,60,"Satyam  Mukherjee[20501431],
",3,YES,,
Total Quality Management,DOM401,LEC1,BMS2YR BMS3YR BMS4YR,,S,11:00 AM,2:00 PM,80,"Ajit Kumar Saxena[20501804],
",3,YES,Major Elective,
Basics of Elec.& Elec.Circuits,ECE101,LEC1,CSD11 CSD12 CSD13 CSD14,,TThF,8:00 AM,9:00 AM,130,"Naveen Babu G[20500517],
",3,YES,,
Basics of Elec.& Elec.Circuits,ECE101,LEC2,MED11 MED12,,MW,11:00 AM,12:30 PM,50,"Amitabh  Chatterjee[20501205],
",3,YES,,
Basics of Elec.& Elec.Circuits,ECE101,PRAC1,CSD11,C201,W,1:00 PM,3:00 PM,33,"Aakash Kishore Sinha[20500738],
",2,YES,,
Basics of Elec.& Elec.Circuits,ECE101,PRAC2,CSD12,C201,F,3:00 PM,5:00 PM,33,"Jitendra  Prajapati[20501015],
",2,YES,,
Basics of Elec.& Elec.Circuits,ECE101,PRAC3,CSD13,C201,F,1:00 PM,3:00 PM,32,"Jitendra  Prajapati[20501015],
",2,YES,,
Basics of Elec.& Elec.Circuits,ECE101,PRAC4,CSD14,C201,W,3:00 PM,5:00 PM,32,"Sandeep Kumar Soni[20501733],
",2,YES,,
Basics of Elec.& Elec.Circuits,ECE101,PRAC5,MED11,C201,M,3:00 PM,5:00 PM,25,"Sandeep Kumar Soni[20501733],
",2,YES,,
Basics of Elec.& Elec.Circuits,ECE101,PRAC6,MED12,C201,M,1:00 PM,3:00 PM,25,"Naveen Babu G[20500517],
",2,YES,,
Basics of Elec.& Elec.Circuits,ECE101,TUT1,CSD11 CSD12,,F,2:00 PM,3:00 PM,66,"Naveen Babu G[20500517],
",1,YES,,
Basics of Elec.& Elec.Circuits,ECE101,TUT2,CSD13 CSD14,,F,3:00 PM,4:00 PM,64,"Amitabh  Chatterjee[20501205],
",1,YES,,
Basics of Elec.& Elec.Circuits,ECE101,TUT3,MED11 MED12,,F,4:00 PM,5:00 PM,50,"Amitabh  Chatterjee[20501205],
",1,YES,,
Semiconductor Devices,ECE102,LEC1,ECE11 ECE12 ECE13,,TThF,8:00 AM,9:00 AM,90,"Venkatnarayan  Hariharan[20501411],
",3,YES,,
Digital Electronics,ECE103,LEC1,ECE11 ECE12 ECE13,,TThF,9:00 AM,10:00 AM,90,"Upendra  Pandey[20501071],
",3,YES,,
Digital Electronics,ECE103,TUT1,ECE11 ECE12 ECE13,,F,4:00 PM,5:00 PM,30,"Upendra  Pandey[20501071],
",1,YES,,
Digital Electronics,ECE103,PRAC1,ECE11,C205,F,1:00 PM,3:00 PM,30,"Upendra  Pandey[20501071],
",2,YES,,
Digital Electronics,ECE103,PRAC2,ECE12,C205,M,1:00 PM,3:00 PM,30,"Aakash Kishore Sinha[20500738],
",2,YES,,
Digital Electronics,ECE103,PRAC3,ECE13,C205,M,3:00 PM,5:00 PM,30,"Aakash Kishore Sinha[20500738],
",2,YES,,
